x,y,cone_type
-2.596143960952759,0.9386518001556396,CONE_BLUE_LEFT
-0.09438867121934891,2.8293635845184326,CONE_YELLOW_RIGHT
-1.344626545906067,4.294013023376465,CONE_YELLOW_RIGHT
-3.7004566192626953,2.413245439529419,CONE_BLUE_LEFT
-3.8731672763824463,6.939871311187744,CONE_YELLOW_RIGHT
-8.116199493408203,4.109673023223877,CONE_BLUE_LEFT
-5.464500904083252,8.040934562683105,CONE_YELLOW_RIGHT
-2.709911584854126,5.807526111602783,CONE_YELLOW_RIGHT
-5.2784223556518555,3.5791587829589844,CONE_BLUE_LEFT
-6.605244159698486,5.0906500816345215,CONE_BLUE_LEFT
-15.130278587341309,2.8215157985687256,CONE_YELLOW_RIGHT
-17.64214515686035,1.072555661201477,CONE_YELLOW_RIGHT
-17.302288055419922,-2.1222140789031982,CONE_BLUE_LEFT
-18.855205535888672,-3.1646440029144287,CONE_BLUE_LEFT
-20.27880859375,-0.7944303154945374,CONE_YELLOW_RIGHT
-22.650829315185547,-2.3430778980255127,CONE_YELLOW_RIGHT
-21.131492614746094,-4.673034191131592,CONE_BLUE_LEFT
-24.338890075683594,-3.511094331741333,CONE_YELLOW_RIGHT
-26.49112892150879,-4.877488136291504,CONE_YELLOW_RIGHT
-28.38030433654785,-6.718046188354492,CONE_YELLOW_RIGHT
-28.683462142944336,-9.790882110595703,CONE_YELLOW_RIGHT
-26.769668579101562,-24.576383590698242,CONE_BLUE_LEFT
-36.724464416503906,-27.08200454711914,CONE_YELLOW_RIGHT
