x,y,cone_type
0.0,348.2,CONE_BLUE_LEFT
0.0,0.0,CONE_YELLOW_RIGHT
140.59163051148258,288.3515795519816,CONE_BLUE_LEFT
188.19063577353026,-81.80051715701119,CONE_YELLOW_RIGHT
318.8820600459534,205.0283370777841,CONE_BLUE_LEFT
384.40120332672797,-152.6198166484072,CONE_YELLOW_RIGHT
531.6139507124913,169.97833431829537,CONE_BLUE_LEFT
545.7943954443092,-202.7520172593671,CONE_YELLOW_RIGHT
727.1612962715475,-217.9193269853106,CONE_YELLOW_RIGHT
729.5518586699357,97.47161329582586,CONE_BLUE_LEFT
889.8730161836601,-175.30317742622665,CONE_YELLOW_RIGHT
1055.964003630954,41.359657155025076,CONE_YELLOW_RIGHT
840.9262174661804,262.1445989453407,CONE_BLUE_LEFT
1205.4450036837068,314.08008290863256,CONE_YELLOW_RIGHT
960.7834373084274,479.2580413013756,CONE_BLUE_LEFT
1347.9830207209504,585.0807354891945,CONE_YELLOW_RIGHT
1069.0748338048984,674.1989899110613,CONE_BLUE_LEFT
1497.9612033162107,853.869471758821,CONE_YELLOW_RIGHT
1212.7410730968984,928.4115224260689,CONE_BLUE_LEFT
1333.6812085050994,1150.6332217433182,CONE_BLUE_LEFT
1651.1822181236078,1136.8510270259292,CONE_YELLOW_RIGHT
1423.1021326120604,1310.0689088772128,CONE_BLUE_LEFT
1792.843999217919,1383.689232693503,CONE_YELLOW_RIGHT
1556.2913922963562,1539.3976273246615,CONE_BLUE_LEFT
1893.273546060779,1565.6088471415821,CONE_YELLOW_RIGHT
1701.9580652445093,1802.1168317848908,CONE_BLUE_LEFT
2017.8860504687686,1789.003931566394,CONE_YELLOW_RIGHT
1759.5583492250269,1966.0944134397125,CONE_BLUE_LEFT
2096.26655024118,2044.8676790091042,CONE_YELLOW_RIGHT
1701.5201773184526,2172.2817326466484,CONE_BLUE_LEFT
1987.1649270742241,2326.042706033795,CONE_YELLOW_RIGHT
1573.058284811268,2458.582242903743,CONE_BLUE_LEFT
1816.4066956155696,2605.385481829255,CONE_YELLOW_RIGHT
1366.8446091080518,2755.6184022395532,CONE_BLUE_LEFT
1594.8827024391132,2904.9816774779265,CONE_YELLOW_RIGHT
1185.0199694977498,3022.5805726506132,CONE_BLUE_LEFT
1478.5469180497612,3153.499977147215,CONE_YELLOW_RIGHT
1163.5246904473224,3320.6063986767217,CONE_BLUE_LEFT
1478.2775631755846,3398.299828960797,CONE_YELLOW_RIGHT
1188.3291258144513,3530.3447594649137,CONE_BLUE_LEFT
1545.153564404671,3606.208848629515,CONE_YELLOW_RIGHT
1293.8297179951396,3757.2140280967055,CONE_BLUE_LEFT
1707.3307469364172,3892.919367212396,CONE_YELLOW_RIGHT
1457.878672951896,4045.8521066268886,CONE_BLUE_LEFT
1872.3303501703776,4218.047481857432,CONE_YELLOW_RIGHT
1643.8398756557385,4385.700883421716,CONE_BLUE_LEFT
1826.1398600618322,4729.566199622024,CONE_BLUE_LEFT
2076.510865709903,4592.155430281432,CONE_YELLOW_RIGHT
